Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Thalassiosira tenera,BACILLARIOPHYTA,7/23/2015,27,2,1,85.6,293920.9,3435.3
Tryblionella granulata,BACILLARIOPHYTA,7/23/2015,27,2,1,7.3,6007.3,827
Unknown Diatom,BACILLARIOPHYTA,7/23/2015,27,2,112,9582.5,812818.2,84.8
Pseudoscourfieldia marina,CHLOROPHYTA,7/23/2015,27,2,1,85.6,604.8,7.1
Plagioselmis prolonga,CRYPTOPHYTA,7/23/2015,27,2,5,427.8,78844.8,184.3
Teleaulax amphioxeia,CRYPTOPHYTA,7/23/2015,27,2,1,85.6,87804.4,1026.3
Chroococcus microscopicus,CYANOPHYCEAE,7/23/2015,27,2,538,46030.4,12339.9,0.3
Unknown Cyanophyte,CYANOPHYCEAE,7/23/2015,27,2,38,3251.2,20428,6.3
Gymnodinium sp.,DINOPHYCEAE,7/23/2015,27,2,1,0.4,100.5,251.3
Actinoptychus senarius,BACILLARIOPHYTA,7/23/2015,36,2,1,118.8,134861.2,1134.9
Aulacoseira sp.,BACILLARIOPHYTA,7/23/2015,36,2,1,18.2,4107.6,226.2
Cyclotella sp.,BACILLARIOPHYTA,7/23/2015,36,2,1,118.8,22679.1,190.9
Cyclotella sp.,BACILLARIOPHYTA,7/23/2015,36,2,1,1,663.7,663.7
Epithemia sp.,BACILLARIOPHYTA,7/23/2015,36,2,1,118.8,57270.5,481.9
Nitzschia spp.,BACILLARIOPHYTA,7/23/2015,36,2,3,356.5,40105.5,112.5
Paralia sulcata,BACILLARIOPHYTA,7/23/2015,36,2,6,713,542058,760.3
Thalassionema sp.,BACILLARIOPHYTA,7/23/2015,36,2,1,118.8,7605.2,64
Thalassiosira hendeyi,BACILLARIOPHYTA,7/23/2015,36,2,1,118.8,1806860,15205.3
Tryblionella navicularis,BACILLARIOPHYTA,7/23/2015,36,2,1,18.2,17970.7,989.6
Unknown Diatom,BACILLARIOPHYTA,7/23/2015,36,2,64,7605.2,447981.8,58.9
Unknown Diatom,BACILLARIOPHYTA,7/23/2015,36,2,1,1,4402.2,4402.2
Pseudoscourfieldia marina,CHLOROPHYTA,7/23/2015,36,2,1,118.8,1866.6,15.7
Plagioselmis prolonga,CRYPTOPHYTA,7/23/2015,36,2,6,713,60477.5,84.8
Teleaulax amphioxeia,CRYPTOPHYTA,7/23/2015,36,2,1,18.2,18636.2,1026.3
Chroococcus microscopicus,CYANOPHYCEAE,7/23/2015,36,2,689,81874.5,21949.1,0.3
Actinoptychus senarius,BACILLARIOPHYTA,8/21/2015,21,2,2,0.5,331.8,663.7
Chaetoceros spp.,BACILLARIOPHYTA,8/21/2015,21,2,2,9.1,1412,155.5
Coscinodiscus sp.,BACILLARIOPHYTA,8/21/2015,21,2,2,9.1,38829.5,4276.5
Cyclotella sp.,BACILLARIOPHYTA,8/21/2015,21,2,1,0.3,192.4,769.7
Eunotogramma dubium,BACILLARIOPHYTA,8/21/2015,21,2,5,1.3,235.6,188.5
Navicula spp.,BACILLARIOPHYTA,8/21/2015,21,2,1,38.2,15839.4,414.7
Nitzschia spp.,BACILLARIOPHYTA,8/21/2015,21,2,1,4.5,715,157.5
Paralia sulcata,BACILLARIOPHYTA,8/21/2015,21,2,10,45.4,21571.9,475.2
Pleurosigma sp.,BACILLARIOPHYTA,8/21/2015,21,2,1,4.5,123938.6,27300
Pseudo-nitzschia sp.,BACILLARIOPHYTA,8/21/2015,21,2,2,9.1,1171.3,129
Skeletonema sp.,BACILLARIOPHYTA,8/21/2015,21,2,6,229.2,3239.9,14.1
Thalassionema nitzschioides,BACILLARIOPHYTA,8/21/2015,21,2,4,152.8,37126.2,243
Thalassionema sp.,BACILLARIOPHYTA,8/21/2015,21,2,2,76.4,5041.8,66
Thalassiosira angulata,BACILLARIOPHYTA,8/21/2015,21,2,7,31.8,109171.7,3435.3
Thalassiosira eccentrica,BACILLARIOPHYTA,8/21/2015,21,2,1,4.5,12996.6,2862.8
Thalassiosira spp.,BACILLARIOPHYTA,8/21/2015,21,2,2,76.4,50697.9,663.7
Tryblionella sp.,BACILLARIOPHYTA,8/21/2015,21,2,1,4.5,1294.3,285.1
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,21,2,54,2062.6,29158.8,14.1
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,21,2,1,4.5,1026.9,226.2
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,21,2,1,4.5,19646.5,4327.4
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,21,2,1,38.2,2099434.8,54959
Pseudoscourfieldia marina,CHLOROPHYTA,8/21/2015,21,2,9,343.8,7289.7,21.2
Hemiselmis sp.,CRYPTOPHYTA,8/21/2015,21,2,7,267.4,2239.9,8.4
Plagioselmis prolonga,CRYPTOPHYTA,8/21/2015,21,2,18,687.5,51837.9,75.4
Teleaulax sp.,CRYPTOPHYTA,8/21/2015,21,2,4,152.8,51997.9,340.3
Teleaulax sp.,CRYPTOPHYTA,8/21/2015,21,2,6,229.2,187582.4,818.5
Chroococcus microscopicus,CYANOPHYCEAE,8/21/2015,21,2,1404,53626.7,14376.4,0.3
Gymnodinium sp.,DINOPHYCEAE,8/21/2015,21,2,5,22.7,4278.7,188.5
Torodinium sp.,DINOPHYCEAE,8/21/2015,21,2,2,9.1,32138,3539.4
Unknown Euglenophyte,EUGLENOPHYTA,8/21/2015,21,2,1,0.3,201.5,805.8
Actinoptychus senarius,BACILLARIOPHYTA,8/21/2015,27,2,1,71.3,27998.9,392.7
Cocconeis sp.,BACILLARIOPHYTA,8/21/2015,27,2,1,7.3,4141.8,570.2
Ditylum brightwellii,BACILLARIOPHYTA,8/21/2015,27,2,1,71.3,377240.8,5291
Ditylum brightwellii,BACILLARIOPHYTA,8/21/2015,27,2,1,0.4,30369.9,75924
Eunotogramma dubium,BACILLARIOPHYTA,8/21/2015,27,2,5,36.3,8557.5,235.6
Nitzschia spp.,BACILLARIOPHYTA,8/21/2015,27,2,1,7.3,4648.8,640
Paralia sulcata,BACILLARIOPHYTA,8/21/2015,27,2,2,142.6,55997.7,392.7
Skeletonema sp.,BACILLARIOPHYTA,8/21/2015,27,2,18,1283.4,18143.3,14.1
Thalassionema nitzschioides,BACILLARIOPHYTA,8/21/2015,27,2,2,14.5,3050.8,210
Thalassiosira angulata,BACILLARIOPHYTA,8/21/2015,27,2,1,71.3,54877.8,769.7
Thalassiosira hendeyi,BACILLARIOPHYTA,8/21/2015,27,2,2,0.8,21775.2,27218.7
Thalassiosira spp.,BACILLARIOPHYTA,8/21/2015,27,2,4,29.1,78865.5,2714.3
Tryblionella navicularis,BACILLARIOPHYTA,8/21/2015,27,2,1,7.3,1335,183.8
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,27,2,62,4420.5,210047.5,47.5
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,27,2,1,0.4,3208.2,8020.6
Pseudoscourfieldia marina,CHLOROPHYTA,8/21/2015,27,2,7,499.1,32665.3,65.4
Unknown Chlorophyte,CHLOROPHYTA,8/21/2015,27,2,4,285.2,4031.8,14.1
Hemiselmis sp.,CRYPTOPHYTA,8/21/2015,27,2,3,213.9,1343.9,6.3
Plagioselmis prolonga,CRYPTOPHYTA,8/21/2015,27,2,21,1497.3,127002.8,84.8
Teleaulax sp.,CRYPTOPHYTA,8/21/2015,27,2,3,213.9,170345.1,796.4
Chroococcus microscopicus,CYANOPHYCEAE,8/21/2015,27,2,1204,85843.5,23013.1,0.3
Phalacroma oxytoxoides,DINOPHYCEAE,8/21/2015,27,2,1,0.4,3756.5,9391.3
Unknown Euglenophyte,EUGLENOPHYTA,8/21/2015,27,2,3,21.8,4004.9,183.8
Aulacoseira sp.,BACILLARIOPHYTA,8/21/2015,32,2,1,0.3,237.6,950.4
Cyclotella sp.,BACILLARIOPHYTA,8/21/2015,32,2,1,4.5,4564,1005.3
Eunotogramma dubium,BACILLARIOPHYTA,8/21/2015,32,2,1,44.6,11199.5,251.3
Nitzschia spp.,BACILLARIOPHYTA,8/21/2015,32,2,1,44.6,11630.6,261
Paralia sulcata,BACILLARIOPHYTA,8/21/2015,32,2,6,267.4,203271.8,760.3
Thalassionema sp.,BACILLARIOPHYTA,8/21/2015,32,2,1,44.6,2941.1,66
Thalassiosira spp.,BACILLARIOPHYTA,8/21/2015,32,2,1,4.5,6435.9,1417.6
Thalassiosira tenera,BACILLARIOPHYTA,8/21/2015,32,2,1,0.3,570.2,2280.8
Tryblionella kuetzingii,BACILLARIOPHYTA,8/21/2015,32,2,1,4.5,3102.1,683.3
Tryblionella littoralis,BACILLARIOPHYTA,8/21/2015,32,2,1,4.5,11456.3,2523.5
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,32,2,26,1158.6,16379.3,14.1
Chlorella sp.,CHLOROPHYTA,8/21/2015,32,2,1,44.6,630,14.1
Pseudoscourfieldia marina,CHLOROPHYTA,8/21/2015,32,2,35,1559.7,44098.2,28.3
Unknown Chlorophyte,CHLOROPHYTA,8/21/2015,32,2,2,89.1,46664.8,523.6
Cryptomonas spp.,CRYPTOPHYTA,8/21/2015,32,2,2,0.5,211.2,422.3
Hemiselmis sp.,CRYPTOPHYTA,8/21/2015,32,2,18,802.1,5039.8,6.3
Hillea fusiformis,CRYPTOPHYTA,8/21/2015,32,2,2,89.1,429.3,4.8
Plagioselmis prolonga,CRYPTOPHYTA,8/21/2015,32,2,9,401.1,157493.6,392.7
Teleaulax sp.,CRYPTOPHYTA,8/21/2015,32,2,9,401.1,203271.8,506.8
Chroococcus microscopicus,CYANOPHYCEAE,8/21/2015,32,2,1409,62787.3,16832.2,0.3
Unknown Dinoflagellate,DINOPHYCEAE,8/21/2015,32,2,2,9.1,11314.9,1246.1
Unknown Euglenophyte,EUGLENOPHYTA,8/21/2015,32,2,3,133.7,57747.7,432
Actinoptychus senarius,BACILLARIOPHYTA,8/21/2015,36,2,1,71.3,80916.7,1134.9
Coscinodiscus sp.,BACILLARIOPHYTA,8/21/2015,36,2,1,0.4,2580.5,6451.3
Diploneis sp.,BACILLARIOPHYTA,8/21/2015,36,2,2,142.6,79964.8,560.8
Eunotogramma dubium,BACILLARIOPHYTA,8/21/2015,36,2,1,71.3,2519.9,35.3
Fragilaria brevistriata,BACILLARIOPHYTA,8/21/2015,36,2,1,0.4,96.1,240.3
Paralia sulcata,BACILLARIOPHYTA,8/21/2015,36,2,3,213.9,32254.7,150.8
Thalassionema sp.,BACILLARIOPHYTA,8/21/2015,36,2,1,7.3,1046,144
Thalassiosira spp.,BACILLARIOPHYTA,8/21/2015,36,2,2,142.6,67757.3,475.2
Tryblionella granulata,BACILLARIOPHYTA,8/21/2015,36,2,1,7.3,3878.2,533.9
Tryblionella littoralis,BACILLARIOPHYTA,8/21/2015,36,2,1,7.3,26836.2,3694.5
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,36,2,14,998.2,14111.4,14.1
Unknown Diatom,BACILLARIOPHYTA,8/21/2015,36,2,2,14.5,7627,524.9
Pseudoscourfieldia marina,CHLOROPHYTA,8/21/2015,36,2,2,142.6,3359.9,23.6
Cryptomonas spp.,CRYPTOPHYTA,8/21/2015,36,2,1,0.4,214.5,536.2
Hemiselmis sp.,CRYPTOPHYTA,8/21/2015,36,2,5,356.5,2239.9,6.3
Plagioselmis prolonga,CRYPTOPHYTA,8/21/2015,36,2,5,356.5,47517.9,133.3
Teleaulax sp.,CRYPTOPHYTA,8/21/2015,36,2,2,142.6,113563.4,796.4
Chroococcus microscopicus,CYANOPHYCEAE,8/21/2015,36,2,1802,128480,34443.2,0.3
Unknown Dinoflagellate,DINOPHYCEAE,8/21/2015,36,2,1,71.3,99302.6,1392.7
Unknown Euglenophyte,EUGLENOPHYTA,8/21/2015,36,2,3,1.2,525.9,438.3
Actinoptychus senarius,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,8243.7,1134.9
Chaetoceros sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,85.6,28222.9,329.9
Cocconeis sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,3577,492.4
Coscinodiscus sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,1825.6,251.3
Cyclotella atomus,BACILLARIOPHYTA,8/26/2015,6,2,1,85.6,12901.9,150.8
Cyclotella sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,7302.4,1005.8
Diploneis sp.,BACILLARIOPHYTA,8/26/2015,6,2,2,0.8,1611.7,2014.6
Navicula spp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,5066,697.8
Nitzschia spp.,BACILLARIOPHYTA,8/26/2015,6,2,1,0.4,174,435
Paralia sulcata,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,3451.5,475.2
Rhoicosphenia sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,1151.3,158.5
Rhopalodia sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,85.6,5989.9,70
Thalassionema sp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,2876.5,396
Thalassiosira eccentrica,BACILLARIOPHYTA,8/26/2015,6,2,1,0.4,7881.7,19704.1
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,6,2,1,85.6,33598.6,392.7
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,41931.5,5775.7
Tryblionella compressa,BACILLARIOPHYTA,8/26/2015,6,2,1,0.4,1283.4,3208.3
Tryblionella debilis,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,4849.2,667.6
Tryblionella granulata,BACILLARIOPHYTA,8/26/2015,6,2,1,0.4,207.3,518.4
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,6,2,5,427.8,6047.8,14.1
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,6,2,3,256.7,3628.7,14.1
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,502,69.2
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,1437.7,198
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,6,2,1,7.3,8847.3,1218.6
Pseudoscourfieldia marina,CHLOROPHYTA,8/26/2015,6,2,3,256.7,6803.7,26.5
Cryptomonas spp.,CRYPTOPHYTA,8/26/2015,6,2,1,7.3,6465.6,890.1
Plagioselmis prolonga,CRYPTOPHYTA,8/26/2015,6,2,9,770,61687.1,80.1
Teleaulax sp.,CRYPTOPHYTA,8/26/2015,6,2,1,85.6,83414.2,974.9
Unknown Cryptophyte,CRYPTOPHYTA,8/26/2015,6,2,1,85.6,43364.6,506.8
Chroococcus microscopicus,CYANOPHYCEAE,8/26/2015,6,2,1568,134155.4,35964.7,0.3
Actinoptychus senarius,BACILLARIOPHYTA,8/26/2015,13,2,1,7.3,5590.9,769.7
Aulacoseira sp.,BACILLARIOPHYTA,8/26/2015,13,2,1,7.3,3423,471.5
Cyclotella sp.,BACILLARIOPHYTA,8/26/2015,13,2,2,0.8,965.1,1206.4
Diploneis sp.,BACILLARIOPHYTA,8/26/2015,13,2,2,0.8,1583.4,1979.2
Entomoneis sp.,BACILLARIOPHYTA,8/26/2015,13,2,1,7.3,1882.6,259.2
Fragilaria brevistriata,BACILLARIOPHYTA,8/26/2015,13,2,2,0.8,219.9,274.9
Nitzschia spp.,BACILLARIOPHYTA,8/26/2015,13,2,1,0.4,57,142.5
Nitzschia spp.,BACILLARIOPHYTA,8/26/2015,13,2,2,0.8,576,720
Paralia sulcata,BACILLARIOPHYTA,8/26/2015,13,2,6,43.6,34709,796.4
Psammodictyon sp.,BACILLARIOPHYTA,8/26/2015,13,2,1,7.3,6332.5,872.2
Rhoicosphenia sp.,BACILLARIOPHYTA,8/26/2015,13,2,1,85.6,11849.4,138.5
Skeletonema sp.,BACILLARIOPHYTA,8/26/2015,13,2,2,171.1,2419.1,14.1
Thalassionema sp.,BACILLARIOPHYTA,8/26/2015,13,2,2,14.5,2832.9,195
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,13,2,1,7.3,4820.7,664
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,13,2,1,85.6,97100.1,1134.9
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,13,2,20,1711.2,24191,14.1
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,13,2,1,7.3,1506.1,207.5
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,13,2,1,0.4,283.2,708.1
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,13,2,1,85.6,199575.9,2332.6
Chlorella sp.,CHLOROPHYTA,8/26/2015,13,2,5,427.8,6047.8,14.1
Pseudoscourfieldia marina,CHLOROPHYTA,8/26/2015,13,2,1,85.6,1567.9,18.3
Unknown Chlorophyte,CHLOROPHYTA,8/26/2015,13,2,6,43.6,182.6,4.2
Unknown Chlorophyte,CHLOROPHYTA,8/26/2015,13,2,1,85.6,537.6,6.3
Unknown Chlorophyte,CHLOROPHYTA,8/26/2015,13,2,1,85.6,5599.8,65.4
Hillea fusiformis,CRYPTOPHYTA,8/26/2015,13,2,1,85.6,537.6,6.3
Plagioselmis prolonga,CRYPTOPHYTA,8/26/2015,13,2,8,684.5,58058.4,84.8
Teleaulax sp.,CRYPTOPHYTA,8/26/2015,13,2,1,85.6,15769,184.3
Teleaulax sp.,CRYPTOPHYTA,8/26/2015,13,2,2,14.5,22393.9,1541.2
Chroococcus microscopicus,CYANOPHYCEAE,8/26/2015,13,2,1418,121321.7,32524.2,0.3
Gymnodinium sp.,DINOPHYCEAE,8/26/2015,13,2,1,85.6,15679.4,183.3
Unknown Euglenophyte,EUGLENOPHYTA,8/26/2015,13,2,2,0.8,267,333.8
Cocconeis sp.,BACILLARIOPHYTA,8/26/2015,18,2,1,0.4,160.2,400.6
Cyclotella atomus,BACILLARIOPHYTA,8/26/2015,18,2,1,85.6,7257.3,84.8
Cyclotella sp.,BACILLARIOPHYTA,8/26/2015,18,2,1,7.3,16567.2,2280.8
Paralia sulcata,BACILLARIOPHYTA,8/26/2015,18,2,2,0.8,849.5,1061.9
Rhoicosphenia sp.,BACILLARIOPHYTA,8/26/2015,18,2,2,171.1,78433.4,458.4
Skeletonema sp.,BACILLARIOPHYTA,8/26/2015,18,2,2,171.1,537.6,3.1
Thalassionema sp.,BACILLARIOPHYTA,8/26/2015,18,2,1,85.6,13860.4,162
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,18,2,5,427.8,64509.4,150.8
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,18,2,1,85.6,86012.5,1005.3
Tryblionella navicularis,BACILLARIOPHYTA,8/26/2015,18,2,2,14.5,4141.8,285.1
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,18,2,37,3165.7,44753.4,14.1
Pseudoscourfieldia marina,CHLOROPHYTA,8/26/2015,18,2,7,598.9,39198.4,65.4
Plagioselmis prolonga,CRYPTOPHYTA,8/26/2015,18,2,10,855.6,291188.2,340.3
Teleaulax sp.,CRYPTOPHYTA,8/26/2015,18,2,1,85.6,43364.6,506.8
Chroococcus microscopicus,CYANOPHYCEAE,8/26/2015,18,2,1396,119439.4,32019.6,0.3
Gymnodinium sp.,DINOPHYCEAE,8/26/2015,18,2,1,7.3,2966.6,408.4
Phalacroma oxytoxoides,DINOPHYCEAE,8/26/2015,18,2,1,7.3,76674.8,10555.7
Achnanthidium minutissimum,BACILLARIOPHYTA,8/26/2015,657,2,1,0.3,18.2,63.6
Amphora sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,747.3,144
Aulacoseira sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,0.3,74.7,261.3
Bacillaria paxillifera,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,1587.7,306
Brachysira microcephala,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,1833.7,353.4
Cocconeis placentula,BACILLARIOPHYTA,8/26/2015,657,2,7,2,527.8,263.9
Cocconeis sp.,BACILLARIOPHYTA,8/26/2015,657,2,4,20.8,10953.5,527.8
Cyclotella meneghiniana,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,2465.4,475.2
Diploneis sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,3337.4,643.2
Encyonema sp.,BACILLARIOPHYTA,8/26/2015,657,2,2,122.2,40104.7,328.1
Epithemia sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,830.6,160.1
Fragilariopsis pseudonana,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,855.7,164.9
Gyrosigma sp.,BACILLARIOPHYTA,8/26/2015,657,2,2,0.6,4278.9,7506.8
Hippodonta capitata,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,1393.6,268.6
Hippodonta sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,317.9,61.2
Lemnicola hungarica,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,2445,471.2
Navicula cincta,BACILLARIOPHYTA,8/26/2015,657,2,2,0.6,277.2,485.1
Navicula spp.,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,3423,659.7
Nitzschia inconspicua,BACILLARIOPHYTA,8/26/2015,657,2,1,61.1,916.7,15
Nitzschia spp.,BACILLARIOPHYTA,8/26/2015,657,2,3,183.3,14025.4,76.5
Paralia sulcata,BACILLARIOPHYTA,8/26/2015,657,2,1,61.1,29038.8,475.2
Planothidium biporomum,BACILLARIOPHYTA,8/26/2015,657,2,1,5.2,1760.4,339.3
Psammodictyon sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,0.3,237,817.1
Rhoicosphenia sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,0.3,91.1,318.7
Sellaphora sp.,BACILLARIOPHYTA,8/26/2015,657,2,2,10.4,2397.1,231
Thalassionema sp.,BACILLARIOPHYTA,8/26/2015,657,2,1,61.1,2933.4,48
Thalassiosira spp.,BACILLARIOPHYTA,8/26/2015,657,2,1,61.1,209943.5,3435.3
Tryblionella navicularis,BACILLARIOPHYTA,8/26/2015,657,2,1,0.3,44.4,155.5
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,657,2,7,427.8,8231.7,19.2
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,657,2,4,244.5,7055.7,28.9
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,657,2,5,25.9,3361.9,129.6
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,657,2,1,0.3,86.2,297.1
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,657,2,4,244.5,96764.1,395.8
Unknown Diatom,BACILLARIOPHYTA,8/26/2015,657,2,1,61.1,32084.4,525
Drepanochloris nannoselene,CHLOROPHYTA,8/26/2015,657,2,4,244.5,2591.9,10.6
Monoraphidium contortum,CHLOROPHYTA,8/26/2015,657,2,1,5.2,119.5,23
Pseudoscourfieldia marina,CHLOROPHYTA,8/26/2015,657,2,2,122.2,5831.8,47.7
Scenedesmus sp.,CHLOROPHYTA,8/26/2015,657,2,8,488.9,5119.8,10.5
Unknown Chlorophyte,CHLOROPHYTA,8/26/2015,657,2,75,4583.5,64797.4,14.1
Unknown Chlorophyte,CHLOROPHYTA,8/26/2015,657,2,1,5.2,821.8,158.3
Cryptomonas erosa,CRYPTOPHYTA,8/26/2015,657,2,3,0.9,488.3,569.7
Cryptomonas spp.,CRYPTOPHYTA,8/26/2015,657,2,2,122.2,23039.1,188.5
Hemiselmis sp.,CRYPTOPHYTA,8/26/2015,657,2,1,61.1,1583.9,25.9
Plagioselmis prolonga,CRYPTOPHYTA,8/26/2015,657,2,30,1833.4,155513.7,84.8
Chroococcus microscopicus,CYANOPHYCEAE,8/26/2015,657,2,1386,84702.7,22707.3,0.3
Chroococcus minimus,CYANOPHYCEAE,8/26/2015,657,2,42,2566.7,36286.5,14.1
Planktothrix sp.,CYANOPHYCEAE,8/26/2015,657,2,105,544.8,5348.4,9.8
Pseudanabaena sp.,CYANOPHYCEAE,8/26/2015,657,2,3,183.3,432,2.4
Unknown Cyanophyte,CYANOPHYCEAE,8/26/2015,657,2,131,8005.8,905.4,0.1
Unknown Cyanophyte,CYANOPHYCEAE,8/26/2015,657,2,12,733.4,47998.1,65.4
Actinocyclus sp.,BACILLARIOPHYTA,9/24/2015,6,2,1,0.4,1930.2,4825.5
Aulacoseira sp.,BACILLARIOPHYTA,9/24/2015,6,2,1,0.4,608.2,1520.5
Cocconeis placentula,BACILLARIOPHYTA,9/24/2015,6,2,1,7.3,3594.1,494.8
Cyclotella atomus,BACILLARIOPHYTA,9/24/2015,6,2,3,183.3,46078.1,251.3
Cyclotella meneghiniana,BACILLARIOPHYTA,9/24/2015,6,2,1,61.1,259189.5,4241.1
Cyclotella sp.,BACILLARIOPHYTA,9/24/2015,6,2,5,305.6,25918.9,84.8
Hippodonta sp.,BACILLARIOPHYTA,9/24/2015,6,2,1,7.3,7530.6,1036.7
Nitzschia incerta,BACILLARIOPHYTA,9/24/2015,6,2,1,7.3,5720.2,787.5
Nitzschia spp.,BACILLARIOPHYTA,9/24/2015,6,2,3,183.3,7700.2,42
Nitzschia spp.,BACILLARIOPHYTA,9/24/2015,6,2,1,7.3,1405.6,193.6
Nitzschia spp.,BACILLARIOPHYTA,9/24/2015,6,2,1,0.4,132,330
Nitzschia spp.,BACILLARIOPHYTA,9/24/2015,6,2,1,7.3,8353.4,1150
Paralia sulcata,BACILLARIOPHYTA,9/24/2015,6,2,3,183.3,46078.1,251.3
Rhoicosphenia sp.,BACILLARIOPHYTA,9/24/2015,6,2,1,0.4,755.6,1889
Thalassionema nitzschioides,BACILLARIOPHYTA,9/24/2015,6,2,1,61.1,22550.7,369
Thalassionema sp.,BACILLARIOPHYTA,9/24/2015,6,2,1,61.1,2200.1,36
Thalassiosira spp.,BACILLARIOPHYTA,9/24/2015,6,2,1,0.4,6082.2,15205.5
Unknown Diatom,BACILLARIOPHYTA,9/24/2015,6,2,2,122.2,1727.9,14.1
Unknown Diatom,BACILLARIOPHYTA,9/24/2015,6,2,1,61.1,2159.9,35.3
Unknown Diatom,BACILLARIOPHYTA,9/24/2015,6,2,3,183.3,14255.4,77.8
Pseudoscourfieldia marina,CHLOROPHYTA,9/24/2015,6,2,3,183.3,8747.6,47.7
Unknown Chrysophyte,CHRYSOPHYCEAE,9/24/2015,6,2,1,61.1,43006.3,703.8
Cryptomonas spp.,CRYPTOPHYTA,9/24/2015,6,2,1,0.4,397.9,994.8
Hemiselmis sp.,CRYPTOPHYTA,9/24/2015,6,2,1,61.1,448,7.3
Hillea fusiformis,CRYPTOPHYTA,9/24/2015,6,2,1,61.1,384,6.3
Plagioselmis prolonga,CRYPTOPHYTA,9/24/2015,6,2,19,1161.1,98492,84.8
Teleaulax amphioxeia,CRYPTOPHYTA,9/24/2015,6,2,7,2.8,2729.9,974.9
Chroococcus microscopicus,CYANOPHYCEAE,9/24/2015,6,2,1334,81524.8,21855.4,0.3
Gymnodinium sp.,DINOPHYCEAE,9/24/2015,6,2,1,61.1,28158.9,460.8
Gyrodinium spp.,DINOPHYCEAE,9/24/2015,6,2,1,0.4,314.2,785.4
Unknown Euglenophyte,EUGLENOPHYTA,9/24/2015,6,2,1,61.1,26398.9,432
Chaetoceros sp.,BACILLARIOPHYTA,9/24/2015,13,2,1,7.3,1916.9,263.9
Coscinodiscus sp.,BACILLARIOPHYTA,9/24/2015,13,2,1,7.3,33271.4,4580.4
Epithemia sp.,BACILLARIOPHYTA,9/24/2015,13,2,2,0.8,2240.5,2800.6
Gomphonema sp.,BACILLARIOPHYTA,9/24/2015,13,2,1,0.4,59.4,148.5
Nitzschia spp.,BACILLARIOPHYTA,9/24/2015,13,2,1,38.9,1633.4,42
